date,day,month,year,week,quarter,month_name,year_month
2022-03-12,12,3,2022,10,1,March,2022-03
2022-03-13,13,3,2022,10,1,March,2022-03
2022-03-14,14,3,2022,11,1,March,2022-03
2022-03-15,15,3,2022,11,1,March,2022-03
2022-03-16,16,3,2022,11,1,March,2022-03
2022-03-17,17,3,2022,11,1,March,2022-03
2022-03-18,18,3,2022,11,1,March,2022-03
2022-03-19,19,3,2022,11,1,March,2022-03
2022-03-20,20,3,2022,11,1,March,2022-03
2022-03-21,21,3,2022,12,1,March,2022-03
2022-03-22,22,3,2022,12,1,March,2022-03
2022-03-23,23,3,2022,12,1,March,2022-03
2022-03-24,24,3,2022,12,1,March,2022-03
2022-03-25,25,3,2022,12,1,March,2022-03
2022-03-26,26,3,2022,12,1,March,2022-03
2022-03-27,27,3,2022,12,1,March,2022-03
2022-03-28,28,3,2022,13,1,March,2022-03
2022-03-29,29,3,2022,13,1,March,2022-03
2022-03-30,30,3,2022,13,1,March,2022-03
2022-03-31,31,3,2022,13,1,March,2022-03
2022-04-01,1,4,2022,13,2,April,2022-04
2022-04-02,2,4,2022,13,2,April,2022-04
2022-04-03,3,4,2022,13,2,April,2022-04
2022-04-04,4,4,2022,14,2,April,2022-04
2022-04-05,5,4,2022,14,2,April,2022-04
2022-04-06,6,4,2022,14,2,April,2022-04
2022-04-07,7,4,2022,14,2,April,2022-04
2022-04-08,8,4,2022,14,2,April,2022-04
2022-04-09,9,4,2022,14,2,April,2022-04
2022-04-10,10,4,2022,14,2,April,2022-04
2022-04-11,11,4,2022,15,2,April,2022-04
2022-04-12,12,4,2022,15,2,April,2022-04
2022-04-13,13,4,2022,15,2,April,2022-04
2022-04-14,14,4,2022,15,2,April,2022-04
2022-04-15,15,4,2022,15,2,April,2022-04
2022-04-16,16,4,2022,15,2,April,2022-04
2022-04-17,17,4,2022,15,2,April,2022-04
2022-04-18,18,4,2022,16,2,April,2022-04
2022-04-19,19,4,2022,16,2,April,2022-04
2022-04-20,20,4,2022,16,2,April,2022-04
2022-04-21,21,4,2022,16,2,April,2022-04
2022-04-22,22,4,2022,16,2,April,2022-04
2022-04-23,23,4,2022,16,2,April,2022-04
2022-04-24,24,4,2022,16,2,April,2022-04
2022-04-25,25,4,2022,17,2,April,2022-04
2022-04-26,26,4,2022,17,2,April,2022-04
2022-04-27,27,4,2022,17,2,April,2022-04
2022-04-28,28,4,2022,17,2,April,2022-04
2022-04-29,29,4,2022,17,2,April,2022-04
2022-04-30,30,4,2022,17,2,April,2022-04
2022-05-01,1,5,2022,17,2,May,2022-05
2022-05-02,2,5,2022,18,2,May,2022-05
2022-05-03,3,5,2022,18,2,May,2022-05
2022-05-04,4,5,2022,18,2,May,2022-05
2022-05-05,5,5,2022,18,2,May,2022-05
2022-05-06,6,5,2022,18,2,May,2022-05
2022-05-07,7,5,2022,18,2,May,2022-05
2022-05-08,8,5,2022,18,2,May,2022-05
2022-05-09,9,5,2022,19,2,May,2022-05
2022-05-10,10,5,2022,19,2,May,2022-05
2022-05-11,11,5,2022,19,2,May,2022-05
2022-05-12,12,5,2022,19,2,May,2022-05
2022-05-13,13,5,2022,19,2,May,2022-05
2022-05-14,14,5,2022,19,2,May,2022-05
2022-05-15,15,5,2022,19,2,May,2022-05
2022-05-16,16,5,2022,20,2,May,2022-05
2022-05-17,17,5,2022,20,2,May,2022-05
2022-05-18,18,5,2022,20,2,May,2022-05
2022-05-19,19,5,2022,20,2,May,2022-05
2022-05-20,20,5,2022,20,2,May,2022-05
2022-05-21,21,5,2022,20,2,May,2022-05
